imgName,subId,response,rt,nClicks,congruency,valueDiff,saliencyLocation,correctness,normalizedRt,income,education,gender
flippedimg_9,5de5157820c5aa09b7a53b89,Right,1.381,1,0,-4,1,1,0.510413394193632,10000,High School Diploma or equivalent,Male
flippedimg_9,5c041a0ce0483e0001f21370,Right,0,0,0,-4,1,NaN,0,250000,Master's Degree,Female
flippedimg_9,5e8cb59cf38a3b057a543c1e,Right,1.438,1,0,-4,1,1,0.268674011544014,70000,Master's Degree,Male
flippedimg_9,5ec85e9240ce74335fcd7b64,Right,6.8,1,0,-4,1,1,1.11445264805421,67000,Bachelor's Degree,Male
flippedimg_9,5b689fa3cda8590001db3c99,Right,2.21,1,0,-4,1,1,0.508655310994389,25000,Bachelor's Degree,Female
flippedimg_9,5d474ed70f79810001c36084,Right,1.067,2,0,-4,1,1,0.31304092709403,14000,High School Diploma or equivalent,Male
flippedimg_9,5c7a8e2cc872f3001446f7b3,Right,1.91,1,0,-4,1,1,0.410286990379522,65000,Master's Degree,Female
flippedimg_9,5e5e06a0394d0811996bd24a,Right,2.155,1,0,-4,1,1,0.319259259259259,5000,High School Diploma or equivalent,Female
flippedimg_9,5ef1f70124605d063a917fcb,Right,1.381,1,0,-4,1,1,0.348517350157729,150000,Bachelor's Degree,Female
flippedimg_9,5ecb01cced3da428165efe9c,Right,3.063,2,0,-4,1,1,0.733854834265726,30000,Bachelor's Degree,Female
flippedimg_9,5d293924af9e43001b1e4e22,Right,2.111,1,0,-4,1,1,0.355671622930795,50000,High School Diploma or equivalent,Male
flippedimg_9,5ea664529b1fb66807ced077,Right,2.233,1,0,-4,1,1,0.459832318736901,15000,High School Diploma or equivalent,Male
flippedimg_9,5bf50a11499f2f0001d98ddf,Right,2.636,1,0,-4,1,1,0.466553296811437,20000,High School Diploma or equivalent,Male
flippedimg_9,5f1ca7a85e7391107f8d7562,Right,1.36,1,0,-4,1,1,0.665122213761476,229521,High School Diploma or equivalent,Female
flippedimg_9,5bcd2885ac406f000177d6b0,Right,2.257,1,0,-4,1,1,0.544840072420036,10000,High School Diploma or equivalent,Male
flippedimg_9,5c5a060fcb75f20001e60f78,Right,1.167,1,0,-4,1,1,0.302014725482331,70000,High School Diploma or equivalent,Male
flippedimg_9,5d547cb99b7c4e0016886fdb,Right,1.848,1,0,-4,1,1,0.40590405904059,22000,Bachelor's Degree,Female
flippedimg_9,5f1c56ae47b7400908bae9c9,Right,1.126,1,0,-4,1,1,0.275484115625038,30000,High School Diploma or equivalent,Male
flippedimg_9,5f08dd79938b1e15c0bd56a6,Right,3.701,3,0,-4,1,1,0.728626353279242,0,High School Diploma or equivalent,Female
flippedimg_9,5c62fbd932207f00016bd19e,Right,3.232,2,0,-4,1,1,0.57225315828147,80000,Bachelor's Degree,Female
flippedimg_9,5bd8d12abeca730001cf1926,Right,1.728,1,0,-4,1,1,0.811991917673042,15000,Bachelor's Degree,Male
flippedimg_9,5ecd4b6b8ebded08f71361b1,Right,2.603,1,0,-4,1,1,0.751779809094716,1000,High School Diploma or equivalent,Female
flippedimg_9,5efc96a12da8b4056d00cd93,Right,1.856,1,0,-4,1,1,0.73032049894741,55000,High School Diploma or equivalent,Male
flippedimg_9,5e1d4ad0aedc2c0cd69a1278,Right,2.478,1,0,-4,1,1,0.445932084435567,0,Master's Degree,Male
